Material,Wood
Geometry,Rectangular
Width,"17.75460",mm
Thickness,"1.60020",mm
Length,"50.80000",mm

Time,Extension,Load
(s),(mm),(N)
"65.30000","0.96761","3,419.97778"
"65.40000","0.96897","3,424.09082"
"65.50000","0.97042","3,428.88940"
"65.60000","0.97213","3,434.87622"
"65.70000","0.97375","3,441.04248"
"65.80000","0.97512","3,445.95020"
"65.90000","0.97657","3,450.61084"
"66.00000","0.97802","3,454.64111"
"66.10000","0.97956","3,453.77002"
"66.20000","0.98110","3,459.74854"
"66.30000","0.98255","3,465.25391"
"66.40000","0.98391","3,470.03809"
"66.50000","0.98519","3,474.12256"
"66.60000","0.98656","3,478.52368"
"66.70000","0.98835","3,484.25000"
"66.78200","0.99006","3,454.16089"
"66.78500","0.99023","3,419.39160"
"66.78700","0.99040","3,392.26685"
"66.78900","0.99049","3,363.02734"
"66.79100","0.99057","3,332.38550"
"66.79300","0.99074","3,301.02881"
"66.79500","0.99083","3,269.57764"
"66.79700","0.99091","3,238.49487"
"66.79900","0.99100","3,208.12500"
"66.80100","0.99108","3,178.78906"
"66.80300","0.99117","3,150.79028"
"66.80500","0.99126","3,124.33618"
"66.80800","0.99126","3,087.76758"
"66.81100","0.99134","3,055.16431"
"66.81400","0.99143","3,026.67773"
"66.81800","0.99151","2,994.83423"
"66.82200","0.99151","2,969.59180"
"66.82800","0.99160","2,942.60742"
"66.84200","0.99168","2,917.16187"
"66.94200","0.99202","2,934.02124"
"67.04200","0.99330","2,932.31396"
"67.14200","0.99484","2,935.13892"
"67.24200","0.99629","2,937.85693"
"67.34200","0.99792","2,941.68750"
"67.44200","0.99937","2,944.70850"
"67.54200","1.00073","2,947.59375"
"67.64200","1.00218","2,949.31567"
"67.74200","1.00381","2,952.99194"
"67.84200","1.00534","2,956.63916"
"67.94200","1.00697","2,960.23218"
"68.04200","1.00833","2,963.00049"
"68.14200","1.00970","2,965.70410"
"68.24200","1.01115","2,968.62671"
"68.34200","1.01277","2,955.71069"
"68.34600","1.01311","2,928.31543"
"68.34800","1.01354","2,873.70483"
"68.34900","1.01371","2,833.03052"
"68.35000","1.01397","2,784.11011"
"68.35100","1.01431","2,727.88110"
"68.35200","1.01456","2,665.41357"
"68.35300","1.01482","2,597.71606"
"68.35400","1.01508","2,525.65381"
"68.35500","1.01542","2,449.98853"
"68.35600","1.01567","2,371.51172"
"68.35700","1.01593","2,291.02539"
"68.35800","1.01619","2,209.08813"
"68.35900","1.01644","2,126.00098"
"68.36000","1.01670","2,042.00159"
"68.36100","1.01687","1,957.34619"
"68.36200","1.01713","1,872.32690"
"68.36300","1.01738","1,787.32056"
"68.36400","1.01755","1,702.76196"
"68.36500","1.01772","1,619.00012"
"68.36600","1.01789","1,536.26917"
"68.36700","1.01815","1,454.79175"
"68.36800","1.01824","1,374.80859"
"68.36900","1.01841","1,296.52026"
"68.37000","1.01849","1,220.06323"
"68.37100","1.01858","1,145.54626"
"68.37200","1.01875","1,073.05872"
